Destination,1,2,3,4,map
Room 32,Turn left at the first set of doors down the hallway,Walk down the stairs ,Your destination is the first door on the left,,https://i.imgur.com/QXHSWtC.png
MenÍs restroom,Turn left at the first set of doors down the hallway,Your destination is the first door on the right,,,https://i.imgur.com/9nbfEGv.png
WomenÍs restroom,Turn left at the first set of doors down the hallway,Take a right inside the doors,Your destination is left of the stairs at the end of the hallway,,https://i.imgur.com/L4qSar6.png
Room 83 ,Turn left at the second set of doors down the hallway,Your destination is inside the door on the right,,,https://i.imgur.com/TMexXIA.png
Vending machines,Turn left at the second set of doors down the hallway,Walk down the ramp inside the doors,Your destination is on the right,,https://i.imgur.com/hOQwy0Y.png
Room 62,Turn left at the second set of doors down the hallway,Walk down the ramp inside the doors,Your destination is on the right,,https://i.imgur.com/mrKilXT.png
Room 55,Turn left at the second set of doors down the hallway,Walk down the ramp inside the doors,Continue down the hallway,Your destination is the last door on the right,https://i.imgur.com/NPDDwV3.png
Room 52,Turn left at the second set of doors down the hallway,Walk down the ramp inside the doors,Continue down the hallway,Your destination is the last door on the left,https://i.imgur.com/vRGyvUA.png
Room 42A,Turn left at the first set of doors down the hallway,Walk down the stairs and continue down the hallway,Turn left at the end of the hallway ,Your destination is the first door on the left,https://i.imgur.com/vhuWuIg.png
Room 42B,Turn left at the first set of doors down the hallway,Walk down the stairs and continue down the hallway,Turn left at the end of the hallway ,Your destination is at the end of the hallway,https://i.imgur.com/eMtMew0.png
Room 77,Turn left at the second set of doors down the hallway,Your destination is directly right inside the door,,,https://i.imgur.com/XD3qygk.png
